耀	yao,yue
魅	mei
魆	xu
魇	yan
魈	xiao
魉	liang
魋	tui
魌	qi
魍	wang
魏	wei
子	zi
孑	jie
魑	chi
孓	jue
孔	kong
魔	mo
孕	yun
魕	ji
孖	zi
魖	xu
字	zi
存	cun
孙	sun
孚	fu
孛	bei,bo
孜	zi
孝	xiao
孟	meng
魠	tuo
孢	bao
季	ji
魣	yu
孤	gu
孥	nu
学	xue
孩	hai
魩	mo
孪	luan
孬	nao
魮	pi
孰	shu
孱	can,chan
孳	zi
孵	fu
孺	ru
孽	nie
魽	han
魾	pi
宀	mian
鮀	tuo
宁	ning
它	ta
宄	gui
宅	zhe,zhai
宇	yu
守	shou
鮈	ju
安	an
宋	song
完	wan
宏	hong
宓	mi
宕	dang
宗	zong
官	guan
宙	zhou
定	ding
宛	yuan,wan
宜	yi
宝	bao
实	shi
宠	chong
鮠	wei
审	shen
鮡	tiao
客	ke
宣	xuan
室	shi
宥	you
宦	huan
鮨	qi
宪	xian
宫	gong
宰	zai
鮰	hui
害	hai
宴	yan
宵	xiao
家	jia,jie,gu
宸	chen
容	rong
鮻	suo
宽	kuan
宾	bin
宿	su,xiu
寂	ji
鯃	wu
寄	ji
寅	yin
密	mi
寇	kou
鯈	chou
富	fu
寐	mei
寒	han
寓	yu
鯓	ni
寔	shi
鯙	chun
寝	qin
寞	mo
察	cha
寡	gua
寤	wu
寥	liao
鯥	lu
寨	zhai
鯬	li
鯭	meng
寮	liao
鯮	zong
寰	huan
鯵	sao
寸	cun
鯸	hou
对	dui
寺	si
寻	xun,xin
鯻	la
导	dao
寿	shou
封	feng
射	she,shi,ye
将	qiang,jiang
尉	wei,yu
尊	zun
小	xiao
尐	ji
少	shao
尓	er
尔	er
尕	ga
尖	jian
鰗	hu
尘	chen
尚	shang
尝	chang
鰡	liu
尢	wang,you
尤	you
尥	liao
尧	yao
尬	ga
鰯	ruo
就	jiu
尴	gan
鰶	ji
尸	shi
尹	yin
尺	che,chi
尻	kao
尼	ni
尽	jin
尾	yi,wei
尿	sui,niao,ni
局	ju
鱀	ji
屁	pi
层	ceng
屃	xi
屄	bi
居	ju,ji
屈	qu
屉	ti
届	jie
屋	wu
屌	diao
屎	shi
鱎	jiao
屏	ping,bing
屐	ji
屑	xie
鱓	shan
展	zhan
鱙	miao
屙	e
鱚	xi
属	shu,zhu
屠	tu
屡	lu:
屣	xi
履	lu:
鱥	gui
屦	ju
屮	che
屯	tun,zhun
山	shan
鱲	lie
鱵	zhen
屹	yi,ge
屺	qi
鱼	yu
屾	shen
鱾	ji
屿	yu
鱿	you
鲀	tun
鲁	lu
岁	sui
岂	qi
鲂	fang
鲃	ba
鲅	ba
鲆	ping
鲇	nian
鲈	lu
岈	ya
鲉	you
鲊	zha
鲋	fu
岌	ji
鲌	bo,ba
鲍	bao
岍	qian
鲎	hou
鲏	pi
岐	qi
鲐	tai
岑	cen
鲑	xie,gui
鲒	jie
岔	cha
鲔	wei
鲕	er
鲖	tong
岖	qu
岗	gang
鲗	zei
岘	xian
鲘	hou
岙	ao
鲙	kuai
岚	lan
鲚	ji
岛	dao
鲛	jiao
鲜	xian
岜	ba
岞	zuo
鲞	xiang
鲟	xun
鲠	geng
鲡	li
岢	ke
鲢	lian
鲣	jian
岣	gou
鲤	li
鲥	shi
鲦	tiao
鲧	gun
鲨	sha
岩	yan
鲩	huan
鲪	jun
岫	xiu
鲫	ji
岬	jia
鲬	yong
岭	ling
鲭	qing,zheng
鲮	ling
鲯	qi
岱	dai
鲱	fei
鲲	kun
岳	yue
鲳	chang
鲴	gu
岵	hu
鲵	ni
鲶	nian
岷	min
鲷	diao
岸	an
鲸	jing
鲹	shen
鲻	zi
鲼	fen
鲽	die
岽	dong
鲾	bi
鲿	chang
岿	kui
鳀	ti
鳁	wen
峁	mao
鳂	wei
鳃	sai
鳄	e
峄	yi
鳅	qiu
鳆	fu
峇	ke
鳇	huang
鳈	quan
鳉	jiang
鳊	bian
峋	xun
鳌	ao
鳍	qi
鳎	ta
鳏	guan
鳐	yao
鳑	pang
峒	tong,dong
鳒	jian
鳓	le
鳔	biao
鳕	xue
鳖	bie
鳗	man
峘	hu
峙	shi,zhi
鳙	yong
鳚	wei
鳛	xi
鳜	gui
鳝	shan
鳞	lin
鳟	zun
鳠	hu
峡	xia
鳡	gan
鳢	li
峣	yao
峤	qiao,jiao
峥	zheng
峦	luan
峨	e
峪	yu
峭	qiao
峯	feng
峰	feng
峻	jun
崀	lang
崁	kan
崂	lao
崃	lai
崆	kong
崇	chong
崌	ju
崎	qi
鴎	ou
崐	kun
崑	kun
崔	cui
崖	ya,ai
崚	leng
崛	jue
崞	guo
崟	yin
崤	yao,xiao
崦	yan
崧	song
崩	beng
崭	zhan
崮	gu
崴	wei,wai
崽	zai
崾	yao
鵄	chi
嵇	ji
嵊	sheng
嵋	mei
嵌	qian,kan
嵎	yu
嵘	rong
嵚	qin
嵛	yu
嵝	lou
嵩	song
嵫	zi
嵬	wei
嵯	cuo
嵴	ji
嶂	zhang
嶋	dao
嶙	lin
嶝	deng
嶷	yi
巅	dian
巉	chan
巍	wei
巛	chuan
川	chuan
州	zhou
巡	xun
巢	chao
工	gong
左	zuo
巧	qiao
巨	ju
巩	gong
巫	wu
差	chai,ci,cha
巯	qiu
己	ji
已	yi
巳	si
巴	ba
巷	hang,xiang
巽	xun
巾	jin
巿	fu
币	bi
市	shi
布	bu
帅	shuai
帆	fan
师	shi
希	xi
帏	wei
帐	zhang
帑	tang
帔	pei
帕	pa
帖	tie
帘	lian
帙	zhi
帚	zhou
帛	bo
帜	zhi
帝	di
鸟	niao,diao
鸠	jiu
鸡	ji
鸢	yuan
鸣	ming
鸥	ou
带	dai
鸦	ya
帧	zhen
鸨	bao
鸩	zhen
鸪	gu
鸫	dong
鸬	lu
鸭	ya
席	xi
帮	bang
鸮	xiao
鸯	yang
鸱	chi
帱	dao,chou
鸲	qu
鸳	yuan
鸵	tuo
鸶	si
鸷	zhi
帷	wei
常	chang
鸸	er
鸹	gua
鸺	xiu
鸻	heng
帻	ze
帼	guo
帽	mao
鸽	ge
鸾	luan
鸿	hong
鹁	bo
幂	mi
鹂	li
鹃	juan
鹄	hu,gu
幄	wo
鹅	e
幅	fu
鹆	yu
鹇	xian
鹈	ti
鹉	wu
鹊	que
鹋	miao
鹌	an
幌	huang
鹍	kun
鹎	bei
鹏	peng
鹑	chun
幔	man
鹔	su
幕	mu
鹕	hu
鹗	e
鹘	hu,gu
鹚	ci
鹛	mei
幛	zhang
鹜	wu
鹞	yao
幞	fu
鹟	weng
幡	fan
幢	chuang,zhuang
鹣	jian
鹤	he
鹦	ying
鹧	zhe
鹨	liu
鹩	liao
鹪	jiao
鹫	jiu
鹬	yu
鹭	lu
鹮	huan
鹰	ying
鹱	hu
干	gan
平	ping
鹳	guan
年	nian
鹴	shuang
并	bing
幷	bing
幸	xing
幺	yao
幻	huan
幼	you
幽	you
鹾	cuo
广	an,guang
鹿	lu
庀	pi
麂	ji
庄	zhuang
庆	qing
庇	bi
麇	jun,qun
麈	zhu
床	chuang
麋	mi
庋	gui
序	xu
庐	lu
庑	wu
麒	qi
库	ku
麓	lu
应	ying
底	de,di
庖	pao
店	dian
庙	miao
庚	geng
府	fu
麝	she
庞	pang
废	fei
麟	lin
庠	xiang
庥	xiu
度	du,duo
麦	mai
座	zuo
庭	ting
庳	bi,bei
庵	an
庶	shu
康	kang
庸	yong
麸	fu
庹	tuo
麻	ma
麽	mo,me
庾	yu
麾	hui
黄	huang
廉	lian
黉	hong
廊	lang
黍	shu
廍	pou
黎	li
黏	nian
黐	chi,li
黑	hei
廑	qin,jin
廒	ao
黒	hei
廓	kuo
黔	qian
廖	liao
默	mo
黛	dai
廛	chan
黜	chu
黝	you
黟	yi
黠	xia
黢	qu
黥	qing,jing
黧	li
廨	xie
黩	du
廪	lin
黪	can
黯	an
廴	yin
延	yan
廷	ting
黹	zhi
建	jian
黻	fu
黼	fu
黾	min,mian
廾	gong
廿	nian
开	kai
弁	bian
异	yi
弃	qi
弄	nong,long
弈	yi
弊	bi
弋	yi
鼋	yuan
鼍	tuo
鼎	ding
式	shi
鼐	nai
弑	shi
鼓	hu,gu
弓	gong
引	yin
弗	fu
鼗	tao
弘	hong
鼙	pi
弛	chi
弟	di
张	zhang
鼠	shu
弢	tao
鼢	fen
弥	mi
弦	xian
弧	hu
弩	nu
弪	jing
鼬	you
弭	mi
弯	wan
鼯	wu
弱	ruo
弶	jiang
鼷	xi
弹	dan,tan
鼹	yan
强	qiang,jiang
鼻	bi
弼	bi
鼾	han
彀	gou
齐	qi,ji
彐	ji
齑	ji
归	gui
当	dang
录	lu
彖	tuan
彗	hui
彘	zhi
彝	yi
彟	huo
彡	shan
形	xing
彤	tong
彦	yan
彧	yu
彩	cai
彪	biao
彬	bin
彭	peng
彰	zhang
影	ying
彳	chi
彷	fang,pang
役	yi
彻	che
彼	bi
齿	chi
往	wang
龀	chen
征	zheng
徂	cu
龃	ju
径	jing
龄	ling
待	dai
龅	bao
徇	xun
龇	zi
龈	ken,yin
很	hen
徉	yang
龉	yu
龊	chuo
徊	huai,hui
律	lu:
龋	qu
龌	wo
徐	xu
龑	yan
徒	tu
徕	lai
得	de,dei
徘	pai
龙	long
徙	xi
龚	gong
龛	kan
徜	chang
龟	jun,gui,qiu
龠	yue
御	yu
徨	huang
循	xun
徬	pang
徭	yao
微	wei
徳	de
徵	zheng,zhi
德	de
徼	jia,jiao
徽	hui
心	xin
忄	xin
必	bi
忆	yi
忉	dao
忌	ji
忍	ren
忏	chan
忐	tan
忑	te
忒	te,tui,tei
忖	cun
志	zhi
忘	wang
忙	mang
忝	tian
忠	zhong
忡	chong
忤	wu
忧	you
忪	song,zhong
快	kuai
忭	bian
忮	zhi
忱	chen
念	nian
忸	nu:,niu
忻	xin
忽	hu
忾	kai
忿	fen
怀	huai
态	tai
怂	song
怃	wu
怄	ou
怅	chang
怆	chuang
怍	zuo
怎	zen,ze
怏	yang
怒	nu
怔	zheng
怕	pa
怖	bu
怙	hu
怛	da
怜	ling,lian
思	si,sai
怠	dai
怡	yi
急	ji
怦	peng
性	xing
怨	yuan
怩	ni
怪	guai
怫	fei,fu
怯	que,qie
怱	zong
怵	chu
总	zong
怼	dui
怿	yi
恁	nin,nen,ren
恂	xun
恃	shi
恋	lian
恍	huang
恐	kong
恒	heng
恕	shu
恙	yang
恚	hui
恝	jia
恢	hui
恣	zi
恤	xu
恧	nu:
恨	hen
恩	en
恪	que,ke
恫	tong,dong
恬	tian
恭	gong
息	xi
恰	qia
恳	ken
恶	e,wu
恸	tong
恹	yan
恺	kai
恻	ce
恼	nao
恽	yun
恿	yong
悃	kun
悄	qiao
悉	xi
悌	ti
悍	han
悒	yi
悔	hui
悖	bei
悚	song
悛	quan
悝	li,kui
悟	wu
悠	you
患	huan
悦	yue
您	nin
悫	que
悬	xuan
悭	qian
悯	min
悱	fei
悲	bei
悴	cui
悸	ji
悻	xing
悼	dao
情	qing
惆	chou
惇	dun
惊	jing
惋	wan
惑	huo
惕	ti
惘	wang
惚	hu
惜	xi
惟	wei
惠	hui
惦	dian
惧	ju
惨	can
惩	cheng
惫	bei
惬	qie
惭	can
惮	dan
惯	guan
惰	duo
想	xiang
惴	zhui
惶	huang
惹	re
惺	xing
愀	qiao
愁	chou
愆	qian
愈	yu
愉	yu
愍	min
愎	bi
意	yi
愕	e
愚	yu
感	gan
愠	yun
愣	leng
愤	fen
愦	kui
愧	kui
愫	su
愿	yuan
慇	yin
慈	ci
慊	qian,qie
慌	huang
慎	shen
慑	she
慓	piao
慕	mu
慜	min
慝	te,ni
慢	man
慧	hui
慨	kai
慰	wei
慵	yong
慷	kang
慾	yu
憋	bie
憍	jiao
憎	zeng
憔	qiao
憧	chong
憨	han
憩	qi
憬	jing
憷	chu
憾	han
懂	dong
懈	xie
懊	ao
懋	mao
懑	men
懒	lan
懔	lin
懦	nuo
懵	meng
懽	huan
懿	yi
戆	gang,zhuang
戈	ge
戊	wu
戋	jian
戌	qu,xu
戍	shu
戎	rong
戏	xi,hu
成	cheng
我	wo
戒	jie
戕	qiang
或	huo
戗	qiang
战	zhan
戚	qi
戛	jia
戟	ji
戡	kan
戢	ji
戤	gai
戥	deng
截	jie
戬	jian
戮	lu
戳	chuo
戴	dai
户	hu
戽	hu
戾	li
房	fang
所	suo
扁	pian,bian
扃	jiong
扇	shan
扈	hu
扉	fei
手	shou
扌	shou
才	cai
扎	zha,za
扑	pu
扒	pa,ba
打	da
扔	reng
托	tuo
扛	gang,kang
扞	han
扣	kou
扥	tuo
扦	qian
执	zhi
扩	kuo
扪	men
扫	sao
扬	yang
扭	niu
扮	ban
扯	che
扰	rao
扳	pan,ban
扶	fu
批	pi
扼	e
扽	dun
找	zhao
承	cheng
技	ji
抄	chao
抉	jue
把	ba
抑	yi
抒	shu
抓	zhua
抔	pou
投	tou
抖	dou
抗	kang
折	she,zhe
抚	fu
抛	pao
抟	tuan
抠	kou
抡	lun
抢	qiang
护	hu
报	bao
抨	peng
披	pi
抬	tai
抱	bao
抵	di
抹	mo,ma
抻	chen,shen
押	ya
抽	chou
抿	min
拂	bi,fu
拄	zhu
担	dan
拆	chai,ca
拇	mu
拈	nian
拉	la
拊	fu
拌	ban
拍	pai
拎	lin
拐	guai
拒	ju
拓	ta,tuo
拔	ba
拖	tuo
拗	yao,niu,ao
拘	ju
拙	zhuo
拚	pin,pan
招	zhao
拜	bai
拟	ni
拢	long
拣	jian
拥	yong
拦	lan
拧	ning
拨	bo
择	ze,zhai
括	gua,kuo
拭	shi
拮	jie
拯	zheng
拱	gong
拳	quan
拴	shuan
拶	zan,za
拷	kao
拼	pin
拽	zhuai,ye
拾	she,shi
拿	na
持	chi
挂	gua
指	zhi
挈	qie
按	an
挎	kua
挑	tiao
挖	wa
挚	zhi
挛	luan
挝	zhua,wo
挞	ta
挟	jia,xie
挠	nao
挡	dang
挢	jia,jiao
挣	zheng
挤	ji
挥	hui
挨	ai
挪	nuo
挫	cuo
振	zhen
挲	suo,sha,sa
挹	yi
挺	ting
挻	shan
挽	wan
捂	wu
捃	jun
捅	tong
捆	kun
捉	zhuo
捋	lu:,luo
捌	ba
捍	han
捎	shao
捏	nie
捐	juan
捕	bu
捞	lao
损	sun
捡	jian
换	huan
捣	dao
捧	peng
捩	lie
捭	bai
据	ju
捯	dao
捱	ai
捶	chui
捷	jie
捺	na
捻	nian
掀	xian
掂	dian
掇	duo
授	shou
掉	diao
掊	pou
掌	zhang
掎	ji
掏	tao
掐	qia
排	pai
掖	yi,ye
掘	jue
掞	shan
掠	lu:e
探	tan
掣	che
接	jie
控	kong
推	tui
掩	yan
措	cuo
掬	ju
掮	qian
掰	bai,bo
掳	lu
掴	guo,guai
掷	zhi
掸	dan,shan
掺	can,shan,chan
掼	guan
掾	yuan
揄	yu
揆	kui
揉	rou
揍	zou
描	miao
提	ti,di,shi
插	cha
揖	yi
揞	an
揠	ya
握	wo
揣	chuai
揩	kai
揪	jiu
揭	jie
揲	she,die
援	yuan
揶	ye
揸	zha
揹	bei
揺	yao
揽	lan
揾	wen
揿	qin
搀	chan
搁	ge
搂	lou
搅	jia,jiao
搋	chuai
搏	bo
搐	chu
搓	cuo
搔	sao
搛	jian
搜	sou
搞	gao
搠	shuo
搡	sang
搢	jin
搥	chui
搦	nuo
搧	shan
搨	ta
搪	tang
搬	ban
搭	da
搴	qian
携	xie
搽	cha
搿	ge
摀	wu
摁	en
摃	gong
摄	she
摅	shu
摆	bai
摇	yao
摈	bin
摊	tan
摒	bing
摔	shuai
摘	zhe,zhai
摞	luo
摧	cui
摩	mo,ma
摭	zhi
摸	mo
摹	mo
摺	zhe
撂	liao
撄	ying
撅	jue
撇	pie
撑	cheng
撒	sa
撕	si
撖	han
撘	da
撙	zun
撞	chuang,zhuang
撤	che
撩	liao
撬	qiao
播	bo
撮	zuo,cuo
撰	zhuan
撵	nian
撷	xie
撸	lu
撺	cuan
撼	han
擀	gan
擂	lei
擅	shan
操	cao
擎	qing
擐	huan
擒	qin
擕	xie
擗	pi
擘	bai,bo
擞	sou
擢	zhuo
擤	xing
擦	ca
攀	pan
攒	cuan,zan
攘	rang
攥	zuan
攫	jue
攮	nang
支	zhi
攴	po
攵	po
收	shou
攸	you
改	gai
攻	gong
放	fang
政	zheng
故	gu
效	xiao
敉	mi
敌	di
敎	jiao
敏	min
救	jiu
敕	chi
敖	ao
教	jiao
敛	lian
敝	bi
敞	tang,chang
敢	gan
散	san
敦	dui,dun
敫	jia,jiao
敬	jing
数	shu,shuo
敲	qiao
整	zheng
敷	fu
文	wen
斋	zhai
斌	bin
斐	fei
斑	ban
斓	lan
斗	dou
料	liao
斛	hu
斜	xia,xie
斟	zhen
斡	wo
斤	jin
斥	chi
斧	fu
斩	zhan
斫	zhuo
断	duan
斯	si
新	xin
方	fang
於	yu,wu
施	shi
旁	bang,pang
旃	zhan
旄	mao
旅	lu:
旆	pei
旋	xuan
旌	jing
旎	ni
族	zu
旒	liu
旖	yi
旗	qi
无	mo,wu
既	ji
日	ri
旦	dan
旧	jiu
旨	zhi
早	zao
旬	xun
旭	xu
旮	ga
旯	la
旰	gan
旱	han
旴	xu
时	shi
旷	kuang
旸	yang
旺	wang
旻	min
旼	min
旿	wu
昀	yun
昂	ang
昃	ze
昆	kun
昇	sheng
昉	fang
昊	hao
昌	chang
明	ming
昏	hun
易	yi
昔	xi
昕	xin
昙	tan
昝	zan
星	xing
映	ying
春	chun
昧	mei
昨	zuo
昭	zhao
是	shi
昱	yu
昳	die
昴	mao
昵	ni
昶	chang
昺	bing
昼	zhou
显	xian
晁	zhao,chao
晃	huang
晋	jin
晌	shang
晏	yan
晒	shai
晓	xiao
晔	ye
晕	yun
晖	hui
晗	han
晚	wan
晛	xian
晞	xi
晟	cheng,sheng
晡	bu
晤	wu
晦	hui
晨	chen
晩	wan
普	pu
景	ying,jing
晰	xi
晳	xi
晴	qing
晶	jing
晷	gui
智	zhi
晾	liang
暂	zan
暄	xuan
暇	xia
暌	kui
暐	wei
暑	shu
暖	nuan
暗	an
暝	ming
暧	ai
暨	ji
暮	mu
暲	zhang
暴	bao,pu
暸	liao
暹	xian
暻	jing
暾	tun
曁	ji
曌	zhao
曙	shu
曛	xun
曜	yao,yue
曝	bao,pu
曦	xi
曩	nang
曰	yue
曱	yue
曲	qu
曳	yi,zhuai,ye
更	geng
曷	he
曹	cao
曼	man
曾	ceng,zeng
替	ti
最	zui
月	yue
有	you
朊	ruan
朋	peng
服	fu
朏	fei
朐	qu
朔	shuo
朕	zhen
朗	lang
望	wang
朝	zhao,chao
期	qi,ji
朦	meng
木	mu
未	wei
末	mo
本	ben
札	zha
术	shu,zhu
朱	zhu
朴	piao,pu,po
朵	duo
机	ji
朽	xiu
朿	ci
杀	sha
杂	za
权	quan
杆	gan
杈	cha
杉	shan,sha
杌	wu
李	li
杏	xing
材	cai
村	cun
杓	shao,biao
杖	zhang
杜	du
杞	qi
束	shu
杠	gang
条	tiao
来	lai
杨	yang
杩	ma
杪	miao
杭	hang
杯	bei
杰	jie
杲	gao
杳	yao,miao
杵	chu
杷	pa,ba
杼	zhu
松	song
板	ban
极	ji
构	gou
枇	pi
枉	wang
枋	fang
析	xi
枕	zhen
林	lin
枘	rui
枚	mei
果	guo
枝	qi,zhi
枞	zong,cong
枢	shu
枣	zao
枥	li
枧	jian
枨	cheng
枪	qiang
枫	feng
枭	xiao
枯	ku
枰	ping
枱	tai
枳	zhi
枵	xiao
架	jia
枷	jia
枸	ju,gou
柁	tuo,duo
柃	ling
柄	bing
柉	fan,bian
柏	bai,bo
某	mou
柑	gan
柒	qi
染	ran
柔	rou
柘	zhe
柙	xia
柚	you
柜	gui,ju
柝	tuo
柞	zha,zuo
柠	ning
柢	di
查	zha,cha
柩	jiu
柬	jian
柯	ke
柰	nai
柱	zhu
柳	liu
柴	chai
柷	zhu
査	zha,cha
柽	cheng
柿	shi
栀	zhi
栅	zha,shan
标	biao
栈	zhan
栉	zhi
栊	long
栋	dong
栌	lu
栎	yue,li
栏	lan
树	shu
栓	shuan
栖	xi,qi
栗	li
栝	gua,kuo
栟	ben,bing
校	xiao,jiao
栢	bai,bo
栩	xu
株	zhu
栲	kao
栳	lao
样	yang
核	he,hu
根	gen
格	ge
栽	zai
栾	luan
桀	jie
桁	hang,heng
桂	gui
桃	tao
桄	guang
桅	wei
框	kuang
案	an
桉	an
桌	zhuo
桎	zhi
桐	tong
桑	sang
桓	huan
桔	jie,ju
桕	jiu
桠	ya
桡	rao
桢	zhen
档	dang
桤	qi
桥	qiao
桦	hua
桧	gui,hui
桨	jiang
桩	zhuang
桫	suo
桲	bo
桴	fu
桶	tong
桷	jue
梁	liang
梃	ting
梅	mei
梆	bang
梏	gu
梓	zi
梗	geng
梢	sao,shao
梦	meng
梧	wu
梨	li
梭	suo
梯	ti
械	xie
梳	shu
梵	fan
梼	tao
梿	lian
检	jian
棂	ling
棉	mian
棋	qi
棍	gun
棒	bang
棕	zong
棘	ji
棚	peng
棠	tang
棣	di
森	sen
棰	chui
棱	leng,ling
棵	ke
棹	zhuo,zhao
棺	guan
棻	fen
棼	fen
椁	guo
椅	yi
椇	ju
椋	liang
植	zhi
椎	chui,zhui
椐	ju
椑	bei,pi
椒	jiao
椟	du
椠	qian
椤	luo
椪	peng
椭	tuo
椰	ye
椴	duan
椹	shen,zhen
椽	chuan
椿	chun
楂	zha,cha
楔	xie
楗	jian
楚	chu
楝	lian
楞	leng
楠	nan
楣	mei
楦	xuan
楩	pian
楫	ji
楮	chu
楷	kai,jie
楸	qiu
楹	ying
楼	lou
榀	pin
概	gai
榄	lan
榆	yu
榇	chen
榈	lu:
榉	ju
榍	xie
榔	lang
榕	rong
榖	gu
榘	ju
榛	zhen
榜	bang
榧	fei
榨	zha
榫	sun
榭	xie
榱	cui
榴	liu
榷	que
榻	ta
槁	gao
槃	pan
槅	ge
槊	shuo
槌	chui
槎	cha
槐	huai
槔	gao
槙	dian
槚	jia
槛	kan,jian
槟	bin,bing
槠	zhu
槭	cu,qi
槲	hu
槺	kang
槻	gui
槽	cao
槿	jin
樊	fan
樋	tong
樗	chu,shu
樘	tang
樟	zhang
模	mo,mu
樨	xi
横	heng
樯	qiang
樱	ying
樵	qiao
樽	zun
樾	yue
橄	gan
橇	qiao,cui
橐	tuo
橘	ju
橙	chen,cheng
橛	jue
橡	xiang
橥	zhu
橦	tong,chuang
橱	chu
橹	lu
橼	yuan
檀	tan
檄	xi
檎	qin
檐	yan,yin
檗	bo
檞	jia
檠	qing
檩	lin
檫	cha
檬	meng
欠	qian
次	ci
欢	huan
欣	xin
欤	yu
欧	ou
欲	yu
欷	xi
欸	ai,e^
欹	yi,qi
欺	qi
款	kuan
歃	sha
歆	xin
歇	xie
歉	qian
歌	ge
歔	xu
歙	she,xi
歛	lian
止	zhi
正	zheng
此	ci
步	bu
武	wu
歧	qi
歪	wai
歹	dai
死	si
歼	jian
殁	mo
殂	cu
殃	yang
殄	tian
殆	dai
殇	shang
殉	xun
殊	shu
残	can
殍	piao
殒	yun
殓	lian
殖	shi,zhi
殚	dan
殛	ji
殡	bin
殪	yi
殳	shu
殴	ou
段	duan
殷	yan,yin
殿	dian
毁	hui
毂	gu
毅	yi
毋	wu
母	mu
毎	mei
每	mei
毐	ai
毑	zuo
毒	du
毓	yu
比	bi
毕	bi
毖	bi
毗	pi
毙	bi
毛	mao
毡	zhan
毫	hao
毬	qiu
毯	tan
毳	cui
毽	jian
氅	chang
氆	pu
氇	lu
氍	qu
氏	shi,zhi
氐	di
民	min
氓	meng,mang
气	qi
氕	pie
氖	nai
氘	dao
氙	xian
氚	chuan
氛	fen
氟	fu
氡	dong
氢	qing
氤	yin
氦	hai
氧	yang
氨	an
氩	ya
氪	ke
氮	dan
氯	lu:
氰	qing
氲	yun
水	shui
氵	shui
永	yong
氹	dang
氽	tun
汀	ting
汁	zhi
求	qiu
汆	cuan
汇	hui
汉	han
汊	cha
汐	xi
汔	qi
汕	shan
汗	han
汛	xun
汜	si
汝	ru
汞	hong,gong
江	jiang
池	chi
污	wu
汤	tang,shang
汨	mi
汩	gu
汪	wang
汭	rui
汰	tai
汲	ji
汴	bian
汶	wen
汹	xiong
汽	qi
汾	fen
沁	qin,shen
沂	yi
沃	wo
沄	yun
沅	yuan
沆	hang
沇	yan
沈	chen,shen
沉	chen
沌	dun,zhuan
沏	qi
沐	mu
沓	ta,da
沔	mian
沙	sha
沚	zhi
沛	pei
沟	gou
没	mei,mo
沣	feng
沤	ou
沥	li
沦	lun
沧	cang
沨	feng
沩	wei
沪	hu
沫	mo
沭	shu
沮	ju
沱	tuo
河	he
沸	fei
油	you
沺	tian
治	zhi
沼	zhao
沽	gu
沾	zhan
沿	yan
泂	jiong
泄	xie
泅	qiu
泉	quan
泊	bo,po
泌	bi,mi
泐	le
泓	hong
泔	gan
法	fa
泖	mao
泗	si
泛	fan
泞	ning
泠	ling
泡	pao
波	bo,po
泣	xie,qi
泥	ni
注	zhu
泪	lei
泫	xuan
泮	pan
泯	min
泰	tai
泱	yang
泳	yong
泵	beng
泷	shuang,long
泸	lu
泺	luo,po
泻	xie
泼	po
泽	ze
泾	jing
泿	yin
洁	jie
洄	hui
洇	yin
洈	wei
洋	yang
洌	lie
洎	ji
洑	fu
洒	sa
洗	xi,xian
洙	zhu
洛	luo
洞	dong
津	jin
洧	wei
洨	xiao
洪	hong
洫	xu
洮	tao
洱	er
洲	zhou
洳	ru
洵	xun
洸	huang,guang
洹	huan
洺	ming
活	huo
洼	wa
洽	xia,qia
派	pa,pai
流	liu
浃	jia
浅	qian,jian
浆	jiang
浇	jiao
浈	zhen
浉	shi
浊	zhuo
测	ce
浍	kuai,hui
济	ji
浏	liu
浐	chan
浑	hun
浒	hu,xu
浓	nong
浔	xun
浙	zhe
浚	xun,jun
浛	han
浜	bang
浞	zhuo
浠	xi
浡	bo
浣	wan,huan
浤	hong
浦	pu
浩	hao
浪	lang
浬	li
浮	fu
浯	wu
浰	li
浴	yu
海	hai
浸	jin
浼	mei
涂	tu
涅	nie
消	xiao
涉	she
涌	yong,chong
涎	xian
涑	su
涓	juan
涔	cen
涕	ti
涛	tao
涝	lao
涞	lai
涟	lian
涠	wei
涡	guo,wo
涢	yun
涣	huan
涤	di
润	run
涧	jian
涨	zhang
涩	se
涪	fu
涫	guan
涬	xing
涮	shuan
涯	ya
液	yi,ye
涵	han
涸	hao,he
涿	zhuo
淀	dian
淄	zi
淅	xi
淆	yao,xiao
淇	qi
淋	lin
淌	tang
淏	hao
淑	shu
淖	nao
淘	tao
淙	cong
淝	fei
淞	song
淠	pi
淡	dan
淤	yu
淦	gan
淫	yin
淬	cui
淮	huai
深	shen
淳	chun
混	hun
淸	qing
淹	yan
添	tian
淼	miao
渃	re
清	qing
渊	yuan
渌	lu
渍	zi
渎	du
渐	jian
渑	mian,sheng
渔	yu
渖	shen
渗	shen
渚	zhu
渝	yu
渠	qu
渡	du
渣	zha
渤	bo
渥	wo
温	wen
渫	xie
渭	wei
港	gang
渲	xuan
渴	ke
游	you
渺	miao
湃	pai
湄	mei
湉	tian
湍	tuan
湎	mian
湓	pen
湔	jian
湖	hu
湘	xiang
湛	zhan
湜	shi
湟	huang
湫	jia,jiu,qiu,jiao
湮	yan,yin
湲	yuan
湼	nie
湾	wan
湿	shi
溁	ying
溃	hui,kui
溅	jian
溆	xu
溉	gai
溍	jin
溏	tang
源	yuan
溘	ke
溜	liu
溟	ming
溢	yi
溥	pu
溦	wei
溧	li
溪	xi,qi
溯	su
溱	qin,zhen
溲	sou
溴	xiu
溶	rong
溷	hun
溺	niao,ni
溽	ru
滁	chu
滂	pang
滇	dian
滋	zi
