耀	yao,yue
藴	yun
藻	zao
藿	huo
蘀	tuo
蘂	rui
蘅	heng
蘍	xun
蘐	xuan
蘑	mo
蘖	nie
蘗	nie,bo
蘘	rang
蘡	ying
蘧	qu
蘩	fan
蘵	zhi
蘸	zhan
蘼	mi
虀	ji
虁	nao
虉	yi
虌	bie
虍	hu
虎	hu
虏	lu
虐	nu:e
虑	lu:
虒	zhi
虓	xiao
虔	qian
虖	hu
虗	xu
虘	cuo
虙	fu
虚	xu
虞	yu
虡	ju
虢	guo
虨	ban
虩	xi
虪	shu
虫	chong,hui
虬	qiu
虮	ji
虱	shi
虵	yi,she
虹	hong,jiang
虺	hui
虻	meng
虽	sui
虾	xia,ha
虿	chai
蚀	shi
蚁	yi
蚂	ma
蚆	pa
蚊	wen
蚋	rui
蚌	beng,bang
蚍	pi
蚓	yin
蚔	chi,qi
蚕	can,tian
蚖	yuan
蚜	ya
蚝	hao
蚠	fen
蚡	fen
蚢	hang
蚣	gong
蚤	zao
蚧	jie
蚨	fu
蚩	chi
蚪	dou
蚬	xian
蚯	qiu
蚰	you
蚱	zha
蚳	chi
蚴	you
蚵	ke,he
蚶	han
蚷	ju
蚺	ran
蛀	zhu
蛄	gu
蛆	qu,ju
蛇	yi,she
蛉	ling
蛊	gu
蛋	dan
蛍	ying
蛎	li
蛏	cheng
蛐	qu
蛔	hui
蛙	wa
蛛	zhu
蛞	kuo
蛟	jiao
蛤	ha,ge
蛩	qiong
蛭	zhi
蛮	man
蛰	zhe
蛱	jia
蛲	nao
蛳	si
蛴	qi
蛸	shao,xiao
蛹	yong
蛾	yi,e
蜀	shu
蜂	feng
蜃	shen
蜇	zhe
蜈	wu
蜉	fu
蜊	li
蜍	chu
蜑	dan
蜒	yan
蜓	ting
蜕	tui
蜗	wo
蜘	zhi
蜚	fei
蜜	mi
蜞	qi
蜡	zha,la
蜢	meng
蜣	qiang
蜥	xi
蜧	li
蜩	tiao
蜮	yu
蜱	pi
蜴	yi
蜷	quan
蜺	ni
蜻	qing
蜼	wei
蜾	guo
蜿	wan
蝀	dong
蝂	ban
蝇	ying
蝈	guo
蝉	chan
蝌	ke
蝍	ji
蝎	xie,he
蝓	yu
蝗	huang
蝘	yan
蝙	bian
蝜	fu
蝠	fu
蝣	you
蝤	qiu,you
蝥	mao
蝪	tang
蝮	fu
蝯	yuan
蝰	kui
蝲	la
蝴	hu
蝶	die
蝹	yun
蝻	nan
蝼	lou
蝽	chun
蝾	rong
螂	lang
螃	pang
螅	xi
螈	yuan
螉	weng
螋	sou
融	rong
螔	yi
螗	tang
螘	yi
螟	ming
螠	yi
螣	te,teng
螨	man
螫	shi,zhe
螬	cao
螭	chi
螯	ao
螲	zhi
螳	tang
螵	piao
螺	luo
螽	zhong
蟀	shuo,shuai
蟆	ma
蟇	ma
蟊	mao
蟋	xi
蟌	cong
蟑	zhang
蟒	mang
蟓	xiang
蟛	peng
蟠	pan
蟥	huang
蟧	lao
蟪	hui
蟫	yin
蟮	shan
蟱	wu
蟴	si
蟷	dang
蟹	xie
蟾	chan
蠃	luo
蠄	qin
蠊	lian
蠋	zhu
蠎	mang
蠓	meng
蠕	ru,ruan
蠖	huo
蠚	he
蠛	mie
蠡	li
蠢	chun
蠭	feng
蠲	juan
蠵	xi
蠹	du
蠼	qu
血	xie,xue
衂	nu:
衄	nu:
衅	xin
行	xing,hang,heng
衍	yan
衎	kan
衒	xuan
衔	xian
衖	long
街	jie
衙	ya
衜	dao
衞	wei
衡	heng
衢	qu
衣	yi
补	bu
表	biao
衩	cha
衪	yi
衫	shan
衬	chen
衮	gun
衰	cui,shuai
衲	na
衷	zhong
衹	qi,zhi
衽	ren
衾	qin
衿	jin
袁	yuan
袂	mei
袄	ao
袅	niao
袆	hui
袈	jia
袋	dai
袍	pao
袐	bi
袒	tan
袓	ju
袖	xiu
袗	zhen
袛	di
袜	wa
袝	fu
袠	zhi
袢	pan
袤	mao
袪	qu
被	bei,pi
袭	xi
袱	fu
袴	ku
袷	jia,qia
袾	zhu
袿	gui
裀	yin
裁	cai
裂	lie
装	zhuang
裆	dang
裈	kun
裉	ken
裋	shu
裎	cheng
裒	pou
裔	yi
裕	yu
裖	chen
裘	qiu
裙	qun
裛	yi
裟	sha
裡	li
裢	lian
裤	ku
裥	jian
裦	fou
裨	bi,bei,pi
裬	ling
裯	chou
裰	duo
裱	biao
裲	liang
裳	shang,chang
裴	pei
裵	pei
裸	luo
裹	guo
裼	xi,ti
裾	ju
裿	qi
褀	ji
褂	gua
褆	shi
褉	xie
褊	bian
褍	duan
褎	xiu
褐	he
褒	bao
褓	bao
褔	fu
褕	yu
褖	tuan
褙	bei
褚	chu,zhu
褛	lu:
褞	yun
褡	da
褥	ru
褧	jiong
褪	tui,tun
褫	chi
褭	niao
褰	qian
褴	lan
褵	li
褶	xi,zhe
褾	biao
襁	qiang
襃	bao
襄	xiang
襌	dan
襍	za
襕	lan
襜	chan
襞	bi
襟	jin
襦	ru
襸	zan
襻	pan
襾	ya
西	xi
要	yao
覃	tan,qin
覆	fu
覇	ba
覊	ji
覌	guan
覑	pian
覔	mi
覚	jue,jiao
覧	lan
